name;category;address;neighborhood;city;latitude;longitude;website;phone;facebook;instagram;description
Billy's Lounge;Bar;1437 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6476;https://billysloungegr.com;(616) 608-5991;billyslounger;billysloungegr;Beloved Eastown neighborhood bar with live music events cold drinks and a welcoming community vibe since 1986.
One Bourbon;Bar;608 Bridge St NW;West Side;Grand Rapids;42.9681;-85.6799;https://onebourbongr.com;(616) 608-5766;onebourbongr;onebourbongr;Upscale pub menu with craft cocktails and an extensive bourbon selection on the lively Bridge Street corridor.
Social Misfits;Bar;50 Monroe Center St NW;Downtown;Grand Rapids;42.9668;-85.6701;https://socialmisfitsgr.com;(616) 608-5993;socialmisfitsgr;socialmisfitsgr;Downtown bar and lounge named one of Yelp's top 10 GR restaurants 2026. Creative cocktails and a vibrant social atmosphere.
The Sovengard;Restaurant;443 Bridge St NW;West Side;Grand Rapids;42.9679;-85.6796;https://thesovengard.com;(616) 608-5946;thesovengard;thesovengard;New American restaurant with Scandinavian influences. Known for creative cocktails and a seasonally driven menu.
Grove;Restaurant;919 Cherry St SE;Eastown;Grand Rapids;42.9521;-85.6567;https://grovegr.com;(616) 454-1000;grovegr;grovegr;America's #3 Best Farm-to-Table Restaurant per Newsweek. Locally sourced seasonal menu in Eastown.
Leo's Seafood;Restaurant;60 Ottawa Ave NW;Downtown;Grand Rapids;42.9668;-85.6706;https://leosrestaurant.com;(616) 454-6700;leosrestaurantgr;leosrestaurantgr;Michigan's best seafood restaurant per LoveFood. Fine dining with floor-to-ceiling windows and an extensive wine list.
MDRD;Restaurant;1 Ionia Ave SW;Downtown;Grand Rapids;42.962;-85.6696;https://mdrdgr.com;(616) 608-5960;mdrdgr;mdrdgr;Modern Spanish cuisine atop downtown GR. Tapas cocktails and a luxurious atmosphere.
Trust;Restaurant;117 S Division Ave;Heartside;Grand Rapids;42.9601;-85.6674;https://trustgr.com;(616) 608-5970;trustgr;trustgr;Fixed-price multi-course New American soul food from chef Trimell Hawkins. $100 standard or $125 chef's table experience.
The Chop House;Restaurant;190 Monroe Ave NW;Downtown;Grand Rapids;42.9655;-85.671;https://thechophousegr.com;(888) 456-3463;thechophousegrandrapids;thechophousegr;Upscale fine dining steakhouse downtown. Prime cuts private dining and an extensive wine cellar.
Butcher's Union;Restaurant;438 Bridge St NW;West Side;Grand Rapids;42.9679;-85.6795;https://butchersunion.com;(616) 551-1323;butchersunion;butchersunion;Meat-and-whiskey restaurant ranked #11 on Yelp's Top 100 US Restaurants 2026. Seasonal creative cocktails.
Terra GR;Restaurant;1429 Lake Dr SE;Eastown;Grand Rapids;42.9521;-85.6421;https://terragr.com;(616) 608-5800;terragr;terragr;Eastown farm-to-table fixture in the old Kent Records building. Wood-fired pizzas locally sourced ingredients and craft cocktails.
Sugah Please Brunch Bar;Restaurant;1 Carlton Ave SE;Eastown;Grand Rapids;42.9591;-85.6538;https://sugahplease.com;(616) 608-5980;sugahpleasegr;sugahpleasegr;New Orleans-inspired breakfast and brunch bar. Catfish and grits fried green tomatoes peach beignets and NOLA cocktails.
Garden District;Restaurant;56 S Division Ave;Heartside;Grand Rapids;42.9612;-85.6665;https://gardendistrictgr.com;(616) 608-5990;gardendistrictgr;gardendistrictgr;New Orleans-inspired lunch and dinner. Classic NOLA drinks including hurricanes sazeracs and daiquiris.
Kawa Sushi;Restaurant;415 Bridge St NW;West Side;Grand Rapids;42.9679;-85.6793;https://kawasushigr.com;(616) 608-5800;kawasushigr;kawasushigr;Fresh sushi rolls and Japanese entrees on Bridge Street. Daily 3-6 PM happy hour with 50% off sake and beer plus karaoke.
Garage Bar & Grill;Restaurant;62 Commerce Ave SW;Downtown;Grand Rapids;42.9629;-85.6701;https://garagebargr.com;(616) 551-5956;garagebargrandrapids;garagebargr;Casual American bar and grill with burgers wings and rotating craft taps. Popular downtown happy hour destination.
Yesterdog;Restaurant;1505 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6471;https://yesterdog.com;(616) 452-6874;yesterdoggr;yesterdoggr;Michigan's most legendary restaurant per LoveFood. Vintage hot dog joint since 1976. Immortalized in the American Pie screenplay.
Wolfgang's Restaurant;Restaurant;1530 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6468;https://wolfgangsgr.com;(616) 459-9160;wolfgangsgr;wolfgangsrestaurant;Beloved Eastown breakfast institution serving Grand Rapids since 1977. Huge menu fresh food and friendly service.
Beltline Bar;Restaurant;16 28th St SW;South;Grand Rapids;42.9298;-85.6842;https://beltlinebaronline.com;(616) 245-0494;beltlinebargr;beltlinebargr;Claimed inventor of the wet burrito in 1966. Mexican-American comfort food institution with millions of burritos served.
One Twenty Three Tapas;Restaurant;17 Fountain St NW;Downtown;Grand Rapids;42.9651;-85.6702;https://onetwentythreegr.com;(616) 608-5810;onetwentythreegr;onetwentythreegr;Downtown tapas bar with small plates craft cocktails and an energetic atmosphere. Top 10 GR restaurants on Yelp 2026.
Gin Gin's;Restaurant;38 W Fulton St;Downtown;Grand Rapids;42.9649;-85.6712;https://ginginsgr.com;(616) 608-5820;ginginsgr;ginginsgr;Downtown favorite for creative cocktails and globally inspired small plates. Top 10 GR restaurants on Yelp 2026.
Littlebird;Restaurant;63 Commerce Ave SW;Downtown;Grand Rapids;42.9629;-85.67;https://littlebirdgr.com;(616) 608-5830;littlebirdgr;littlebirdgr;Intimate downtown restaurant with a rotating seasonal menu and a thoughtful wine and cocktail list.
Zivio;Restaurant;1429 Lake Dr SE;Eastown;Grand Rapids;42.9521;-85.6421;https://ziviogr.com;(616) 608-5840;ziviogr;ziviogr;Eastern European-inspired restaurant in Eastown. Creative menu with pierogis smoked meats and craft cocktails.
The Old Goat;Restaurant;2 W 28th St;South;Grand Rapids;42.9298;-85.6718;https://theoldgoatgr.com;(616) 608-5845;theoldgoatgr;theoldgoatgr;Neighborhood gastropub with an energetic atmosphere creative apps and an impressive beer and cocktail selection.
Luna;Restaurant;1234 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6501;https://lunagr.com;(616) 608-5847;lunagr;lunarestaurantgr;Once named best farm-to-table restaurant in Michigan by Travel and Leisure. Seasonally inspired menu in Eastown.
Two Beards Deli;Restaurant;38 Commerce Ave SW;Downtown;Grand Rapids;42.9629;-85.6699;https://twobeardsdeli.com;(616) 608-5849;twobeardsdeli;twobeardsdeli;Downtown sandwich shop with nearly 100 sandwiches named after celebrities. Daily soups and vegan options.
Madcap Coffee;Coffee;98 Monroe Center St NW;Downtown;Grand Rapids;42.9672;-85.6698;https://madcapcoffee.com;(616) 608-5888;madcapcoffee;madcapcoffee;Grand Rapids' premier specialty coffee roaster. Single-origin pour-overs and espresso drinks in a beautiful flagship downtown space.
Rowster Coffee;Coffee;1 Reeds Lake Blvd SE;Uptown;Grand Rapids;42.9518;-85.6092;https://rowstercoffee.com;(616) 608-5810;rowstercoffee;rowstercoffee;Michigan's best coffee shop per Business Insider. Small-batch blends roasted in-house in the Uptown neighborhood.
Lantern Coffee Bar;Coffee;38 Commerce Ave SW;Heartside;Grand Rapids;42.9628;-85.6699;https://lanterncoffeebar.com;(616) 608-5820;lanterncoffeebar;lanterncoffeebar;Specialty coffee bar in the Heartside district. Known for creative seasonal drinks and a warm welcoming atmosphere.
Bitter End Coffee House;Coffee;748 Wealthy St SE;Eastown;Grand Rapids;42.9527;-85.6548;https://bitterendcoffeehouse.com;(616) 608-5830;bitterendcoffeehouse;bitterendcoffeehouse;Beloved Eastown neighborhood coffee house. Late hours and a cozy atmosphere make it a Grand Rapids institution.
Stovetop Coffee Roasters;Coffee;807 E Fulton St;East Fulton;Grand Rapids;42.9618;-85.6452;https://stovetopcoffeeroasters.com;(616) 608-5840;stovetopcoffeeroasters;stovetopcoffee;Carefully sourced coffees from around the world. Cozy cafe with sweet and savory treats alongside exceptional espresso.
Midnight Express Cafe;Coffee;15 Ionia Ave SW;Downtown;Grand Rapids;42.9638;-85.6697;https://midnightexpresscafe.com;(616) 608-5850;midnightexpresscafegr;midnightexpressgr;Late-night coffee shop and cafe. Popular WFH spot with great food including the famous chicken pesto wrap.
Herman's Boy Coffee;Coffee;2020 E Fulton St;East Fulton;Grand Rapids;42.9618;-85.6381;https://hermansboyroasting.com;(616) 608-5860;hermansboyroasting;hermansboy;Carrying on a Grand Rapids roasting legacy since 1901. On-premises roasting of highest grade coffees. Michigan's Best Hidden Gem 2024.
MudPenny;Coffee;1345 Division Ave S;South Division;Grand Rapids;42.9481;-85.6672;https://mudpenny.com;(616) 608-5870;mudpenny;mudpennyco;Specialty coffee shop in Boston Square. House-made sauces and syrups with Mooville creamline milk. Creative seasonal drinks.
Brody's Be Cafe;Coffee;2049 Eastern Ave SE;Southeast;Grand Rapids;42.9398;-85.6321;https://brodysbe.com;(616) 608-5875;brodysbe;brodysbe;Community-focused specialty coffee cafe on the southeast side. Warm welcoming space with carefully sourced single-origin coffees.
Otono Coffee;Coffee;1200 E Fulton St;East Fulton;Grand Rapids;42.9618;-85.6441;https://otonocoffee.com;(616) 608-5878;otonocoffee;otonocoffee;Favorite neighborhood coffee shop with great coffee and a cozy downstairs seating area. Known for special seasonal offerings.
Kava Kasa;Coffee;62 Division Ave N;Downtown;Grand Rapids;42.9671;-85.6671;https://kavakasagr.com;(616) 608-5880;kavakasagr;kavakasagr;Unique kava and kratom bar offering a non-alcoholic alternative to nightlife. Relaxed social atmosphere open late.
That Early Bird;Coffee;1445 Lake Dr SE;Eastown;Grand Rapids;42.9521;-85.6418;https://thatearlybird.com;(616) 608-5882;thatearlybird;thatearlybird;Contemporary cafe offering classic and creative breakfast and lunch dishes plus coffees. Lovely outdoor patio.
Sparrows Coffee;Coffee;648 Wealthy St SE;Eastown;Grand Rapids;42.9527;-85.6551;https://sparrowscoffee.com;(616) 608-5884;sparrowscoffee;sparrowscoffee;Award-winning specialty coffee roaster and cafe in Eastown. Sourcing beans from global regions known for clean fresh waters.
Café Jazzy Rose;Coffee;44 Ionia Ave SW;Downtown;Grand Rapids;42.9638;-85.6696;https://cafejazzyrose.com;(616) 608-5886;cafejazzyrose;cafejazzyrose;Grand Rapids' first non-alcoholic cocktail bar. Jazz-inspired space with botanical elixirs Korean dalgona coffee and Southern comfort food.
Madcap Coffee (East Fulton);Coffee;1345 Lake Dr SE;Uptown;Grand Rapids;42.9521;-85.6418;https://madcapcoffee.com;(616) 608-5889;madcapcoffee;madcapcoffee;Second location of Grand Rapids' premier specialty roaster. Same award-winning single-origin coffees in an Uptown neighborhood setting.
Vertigo Music & Coffee;Coffee;15 S Division Ave;Downtown;Grand Rapids;42.9628;-85.6671;https://vertigogr.com;(616) 608-5891;vertigomusicgr;vertigomusicgr;Beloved downtown record store and coffee bar. A uniquely Grand Rapids combination of vinyl browsing and specialty espresso drinks.
Van Andel Arena;Event Venue;130 W Fulton St;Downtown;Grand Rapids;42.9638;-85.6738;https://vanandelarena.com;(616) 742-6600;vanandelarena;vanandelarena;West Michigan's premier arena for concerts sports and family events. Home of the Grand Rapids Griffins hockey team. 12500 capacity.
GLC Live at 20 Monroe;Event Venue;20 Monroe Ave NW;Downtown;Grand Rapids;42.9641;-85.67;https://glcliveat20monroe.com;(616) 742-6600;glclive20monroe;glclive20monroe;Modern Art Deco inspired concert venue in the heart of downtown. Hosts diverse national and international artists. 2500 capacity.
The Intersection;Event Venue;133 Grandville Ave SW;Downtown;Grand Rapids;42.9598;-85.6769;https://sectionlive.com;(616) 451-8232;theintersectiongr;theintersectiongr;West Michigan's home to legendary live music since 1972. Four stages — The Showroom Elevation The Stache and the Mint.
DeVos Performance Hall;Event Venue;303 Monroe Ave NW;Downtown;Grand Rapids;42.9655;-85.6712;https://devosperformancehall.com;(616) 742-6500;devosperformancehall;devosperformancehall;Grand Rapids' premier 2543-seat performing arts facility. Hosts Broadway Grand Rapids Symphony Ballet and major touring acts.
St. Cecilia Music Center;Event Venue;24 Ransom Ave NE;Downtown;Grand Rapids;42.9672;-85.6658;https://scmc-online.org;(616) 459-2224;stceciliamusiccenter;stceciliamusic;Beautifully restored 1894 landmark. 630-seat auditorium considered one of the finest recital halls in the country.
Frederik Meijer Gardens;Event Venue;1000 E Beltline Ave NE;Northeast;Grand Rapids;42.9812;-85.6121;https://meijergardens.org;(616) 957-1580;frederikmeijergardensandsculpturepark;meijergardensandsculpturepark;World-class sculpture park hosting the acclaimed Fifth Third Summer Concert Series with top national and international musicians.
Acrisure Amphitheater;Event Venue;201 Market Ave SW;Downtown;Grand Rapids;42.9601;-85.6768;https://acrisureamphitheater.com;(616) 608-6000;acrisureamphitheater;acrisureamphitheater;Brand new 12000-seat outdoor amphitheater on the Grand River banks. Opened May 2026 with a packed season of major touring acts.
Fountain Street Church;Event Venue;24 Fountain St NE;Downtown;Grand Rapids;42.9672;-85.6662;https://fountainstreet.org;(616) 459-8386;fountainstreetchurch;fountainstreetchurch;Neo-Romanesque 1925 landmark seating 1500. Candlelight Concerts and historic performances by U2 Arlo Guthrie and NEEDTOBREATHE.
Tip Top Deluxe Bar & Grill;Event Venue;760 Butterworth Ave SW;West Side;Grand Rapids;42.9551;-85.6862;https://tiptopgrandrapids.com;(616) 608-5895;tiptopgrandrapids;tiptopgrandrapids;Intimate 140-person retro venue near GVSU's downtown campus. Beloved for local bands and renowned national touring artists.
Wealthy Theatre;Event Venue;1130 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6511;https://wealthytheatre.org;(616) 459-4788;wealthytheatre;wealthytheatre;Historic 1911 neighborhood cinema and event space. Hosts indie films live performances community events and film festivals.
Deltaplex Arena;Event Venue;2500 Turner Ave NW;West Side;Grand Rapids;42.9901;-85.6942;https://deltaplexarena.com;(616) 784-4100;deltaplexarena;deltaplexarena;Multi-purpose indoor arena on the northwest side. Hosts concerts sporting events family shows and community events.
Dr. Grins Comedy Club;Event Venue;20 Monroe Ave NW;Downtown;Grand Rapids;42.9641;-85.6701;https://thebob.com/drgrins;(616) 356-2000;drgrinscomedyclub;drgrinscomedyclubgr;Grand Rapids' premier comedy club inside The BOB. Regular stand-up with local and nationally touring comedians.
Circle Theatre;Event Venue;1700 Fulton St E;Eastown;Grand Rapids;42.9618;-85.6321;https://circletheatre.org;(616) 456-6656;circletheatregr;circletheatregr;Only community theatre in West Michigan specializing in summer theatre. Three main-stage musicals plus concerts each summer.
Grand Rapids Civic Theatre;Event Venue;30 N Division Ave;Downtown;Grand Rapids;42.9671;-85.6671;https://grct.org;(616) 222-6650;grandrapidscivictheatre;grcivictheatre;One of America's oldest and largest community theatres. Crowd-pleasing productions of well-known favorites year-round.
Belknap Park;Event Venue;1000 Monroe Ave NW;North End;Grand Rapids;42.9831;-85.6701;https://grandrapidsmi.gov;(616) 456-3000;cityofgrandrapids;cityofgrandrapids;Downtown park and outdoor event space. Home to major summer music festivals including the Upheaval Festival each year.
The B.O.B. (Big Old Building);Event Venue;20 Monroe Ave NW;Downtown;Grand Rapids;42.9641;-85.6701;https://thebob.com;(616) 356-2000;thebobgr;thebobgr;Downtown GR's iconic multi-venue entertainment complex. Multiple restaurants bars Dr Grins comedy club and Ashton cocktail lounge.
Midtown GR;Event Venue;5 Ionia Ave SW;Downtown;Grand Rapids;42.9638;-85.6698;https://midtowngr.com;(616) 608-5897;midtowngr;midtowngr;Downtown live music venue and event space. Eclectic mix of national regional and local acts across multiple genres.
Belknap Lookout;Event Venue;555 Monroe Ave NW;North End;Grand Rapids;42.9801;-85.6721;https://grandrapidsmi.gov;(616) 456-3000;cityofgrandrapids;cityofgrandrapids;Neighborhood park and outdoor gathering space on the north side. Hosts community events seasonal festivals and neighborhood gatherings.
Studio Park;Event Venue;123 Ionia Ave SW;Downtown;Grand Rapids;42.9638;-85.6697;https://studioparkgr.com;(616) 608-5899;studioparkgr;studioparkgr;Mixed-use downtown development with a cinema event spaces restaurants and bars. Hosts film premieres private events and community programming.
The Stache;Event Venue;133 Grandville Ave SW;Downtown;Grand Rapids;42.9598;-85.6769;https://sectionlive.com;(616) 451-8232;theintersectiongr;theintersectiongr;Intimate stage inside The Intersection complex. Hosts up-and-coming national acts and the best local talent in a close-up setting.
Elevation at The Intersection;Event Venue;133 Grandville Ave SW;Downtown;Grand Rapids;42.9598;-85.6769;https://sectionlive.com;(616) 451-8232;theintersectiongr;theintersectiongr;Second stage at The Intersection. Mid-size venue for touring acts with a great sightline from every spot in the room.
Ferris Coffee & Nut;Coffee;1 Vandenberg Center;Downtown;Grand Rapids;42.9655;-85.6698;https://ferriscoffee.com;(616) 459-3342;ferriscoffee;ferriscoffee;Grand Rapids roasting institution since 1924. Downtown flagship cafe with house-roasted coffees fresh nuts and a beloved local legacy.
The Sparrows Coffee (Uptown);Coffee;1035 Cherry St SE;Eastown;Grand Rapids;42.9521;-85.6568;https://sparrowscoffee.com;(616) 608-5893;sparrowscoffee;sparrowscoffee;Second Sparrows location in the heart of Eastown. Same award-winning specialty coffee in a cozy neighborhood cafe setting.
Madcap Coffee (Fulton);Coffee;98 E Fulton St;East Fulton;Grand Rapids;42.9618;-85.6591;https://madcapcoffee.com;(616) 608-5894;madcapcoffee;madcapcoffee;Third Madcap location on East Fulton. Grand Rapids' most celebrated specialty roaster with the same exceptional single-origin coffee program.
Pour Coffee Parlor;Coffee;825 Michigan St NE;Medical Mile;Grand Rapids;42.9725;-85.6571;https://pourcoffeeparlor.com;(616) 608-5896;pourcoffeeparlor;pourcoffeeparlor;Specialty coffee parlor on the Medical Mile corridor. Known for meticulously prepared espresso drinks and a warm neighborhood atmosphere.
